2017,7,28-23,59,58;20.00;47.00
2017,7,29-0,0,5;20.00;47.00
2017,7,29-0,0,12;20.00;47.00
2017,7,29-0,0,18;20.00;47.00
2017,7,29-0,0,25;20.00;47.00
2017,7,29-0,0,32;20.00;47.00
2017,7,29-0,0,39;20.00;47.00
2017,7,29-0,0,46;20.00;47.00
2017,7,29-0,0,53;20.00;47.00
2017,7,29-0,1,0;20.00;47.00
2017,7,29-0,1,7;20.00;47.00
2017,7,29-0,1,13;20.00;47.00
2017,7,29-0,1,20;20.00;47.00
2017,7,29-0,1,27;20.00;47.00
2017,7,29-0,1,34;20.00;47.00
2017,7,29-0,1,41;20.00;47.00
2017,7,29-0,1,48;20.00;47.00
2017,7,29-0,1,55;20.00;47.00
2017,7,29-0,2,1;20.00;47.00
2017,7,29-0,2,8;20.00;47.00
2017,7,29-0,2,15;20.00;47.00
2017,7,29-0,2,22;20.00;47.00
2017,7,29-0,2,29;20.00;47.00
2017,7,29-0,2,36;20.00;47.00
2017,7,29-0,2,43;20.00;47.00
2017,7,29-0,2,49;20.00;47.00
2017,7,29-0,2,56;20.00;47.00
2017,7,29-0,3,3;20.00;47.00
2017,7,29-0,3,10;20.00;47.00
2017,7,29-0,3,17;20.00;47.00
2017,7,29-0,3,24;20.00;47.00
2017,7,29-0,3,31;20.00;47.00
2017,7,29-0,3,37;20.00;47.00
2017,7,29-0,3,44;20.00;47.00
2017,7,29-0,3,51;20.00;47.00
2017,7,29-0,3,58;20.00;47.00
2017,7,29-0,4,5;20.00;47.00
2017,7,29-0,4,12;20.00;47.00
2017,7,29-0,4,19;20.00;47.00
2017,7,29-0,4,25;20.00;47.00
2017,7,29-0,4,32;20.00;47.00
2017,7,29-0,4,39;20.00;47.00
2017,7,29-0,4,46;20.00;47.00
2017,7,29-0,4,53;20.00;47.00
2017,7,29-0,5,0;20.00;47.00
2017,7,29-0,5,7;20.00;47.00
2017,7,29-0,5,13;20.00;47.00
2017,7,29-0,5,20;20.00;47.00
2017,7,29-0,5,27;20.00;47.00
2017,7,29-0,5,34;20.00;47.00
2017,7,29-0,5,41;20.00;47.00
2017,7,29-0,5,48;20.00;47.00
2017,7,29-0,5,55;20.00;47.00
2017,7,29-0,6,2;20.00;47.00
2017,7,29-0,6,8;20.00;47.00
2017,7,29-0,6,15;20.00;47.00
2017,7,29-0,6,22;20.00;47.00
2017,7,29-0,6,29;20.00;47.00
2017,7,29-0,6,36;20.00;47.00
2017,7,29-0,6,43;20.00;47.00
2017,7,29-0,6,50;20.00;47.00
2017,7,29-0,6,56;20.00;47.00
2017,7,29-0,7,3;20.00;47.00
2017,7,29-0,7,10;20.00;47.00
2017,7,29-0,7,17;20.00;47.00
2017,7,29-0,7,24;20.00;47.00
2017,7,29-0,7,31;20.00;47.00
2017,7,29-0,7,38;20.00;47.00
2017,7,29-0,7,44;20.00;47.00
2017,7,29-0,7,51;20.00;47.00
2017,7,29-0,7,58;20.00;47.00
2017,7,29-0,8,5;20.00;47.00
2017,7,29-0,8,12;20.00;47.00
2017,7,29-0,8,19;20.00;47.00
2017,7,29-0,8,26;20.00;47.00
2017,7,29-0,8,32;20.00;47.00
2017,7,29-0,8,39;20.00;47.00
2017,7,29-0,8,46;20.00;47.00
2017,7,29-0,8,53;20.00;47.00
2017,7,29-0,9,0;20.00;47.00
2017,7,29-0,9,7;20.00;47.00
2017,7,29-0,9,14;20.00;47.00
2017,7,29-0,9,20;20.00;47.00
2017,7,29-0,9,27;20.00;47.00
2017,7,29-0,9,34;20.00;47.00
2017,7,29-0,9,41;20.00;47.00
2017,7,29-0,9,48;20.00;47.00
2017,7,29-0,9,55;20.00;47.00
2017,7,29-0,10,2;20.00;47.00
2017,7,29-0,10,9;20.00;47.00
2017,7,29-0,10,15;20.00;47.00
2017,7,29-0,10,22;20.00;47.00
2017,7,29-0,10,29;20.00;47.00
2017,7,29-0,10,36;20.00;47.00
2017,7,29-0,10,43;20.00;47.00
2017,7,29-0,10,50;20.00;47.00
2017,7,29-0,10,57;20.00;47.00
2017,7,29-0,11,3;20.00;47.00
2017,7,29-0,11,10;20.00;47.00
2017,7,29-0,11,17;20.00;47.00
2017,7,29-0,11,24;20.00;47.00
2017,7,29-0,11,31;20.00;47.00
2017,7,29-0,11,38;20.00;47.00
2017,7,29-0,11,45;20.00;47.00
2017,7,29-0,11,51;20.00;47.00
2017,7,29-0,11,58;20.00;47.00
2017,7,29-0,12,5;20.00;47.00
2017,7,29-0,12,12;20.00;47.00
2017,7,29-0,12,19;20.00;47.00
2017,7,29-0,12,26;20.00;47.00
2017,7,29-0,12,33;20.00;47.00
2017,7,29-0,12,39;20.00;47.00
2017,7,29-0,12,46;20.00;47.00
2017,7,29-0,12,53;20.00;47.00
2017,7,29-0,13,0;20.00;47.00
2017,7,29-0,13,7;20.00;47.00
2017,7,29-0,13,14;20.00;47.00
2017,7,29-0,13,21;20.00;47.00
2017,7,29-0,13,27;20.00;47.00
2017,7,29-0,13,34;20.00;47.00
2017,7,29-0,13,41;20.00;47.00
2017,7,29-0,13,48;20.00;47.00
2017,7,29-0,13,55;20.00;47.00
2017,7,29-0,14,2;20.00;47.00
2017,7,29-0,14,9;20.00;47.00
2017,7,29-0,14,15;20.00;47.00
2017,7,29-0,14,22;20.00;47.00
2017,7,29-0,14,29;20.00;47.00
2017,7,29-0,14,36;20.00;47.00
2017,7,29-0,14,43;20.00;47.00
2017,7,29-0,14,50;20.00;47.00
2017,7,29-0,14,57;20.00;47.00
2017,7,29-0,15,3;20.00;47.00
2017,7,29-0,15,10;20.00;47.00
2017,7,29-0,15,17;20.00;47.00
2017,7,29-0,15,24;20.00;47.00
2017,7,29-0,15,31;20.00;47.00
2017,7,29-0,15,38;20.00;47.00
2017,7,29-0,15,45;20.00;47.00
2017,7,29-0,15,52;20.00;47.00
2017,7,29-0,15,58;20.00;47.00
2017,7,29-0,16,5;20.00;47.00
2017,7,29-0,16,12;20.00;47.00
2017,7,29-0,16,19;20.00;47.00
2017,7,29-0,16,26;20.00;47.00
2017,7,29-0,16,33;20.00;47.00
2017,7,29-0,16,40;20.00;47.00
2017,7,29-0,16,46;20.00;47.00
2017,7,29-0,16,53;20.00;48.00
2017,7,29-0,17,0;20.00;47.00
2017,7,29-0,17,7;20.00;47.00
2017,7,29-0,17,14;20.00;47.00
2017,7,29-0,17,21;20.00;47.00
2017,7,29-0,17,28;20.00;47.00
2017,7,29-0,17,34;20.00;47.00
2017,7,29-0,17,41;20.00;47.00
2017,7,29-0,17,48;20.00;47.00
2017,7,29-0,17,55;20.00;48.00
2017,7,29-0,18,2;20.00;47.00
2017,7,29-0,18,9;20.00;47.00
2017,7,29-0,18,16;20.00;48.00
2017,7,29-0,18,22;20.00;48.00
2017,7,29-0,18,29;20.00;48.00
2017,7,29-0,18,36;20.00;48.00
2017,7,29-0,18,43;20.00;48.00
2017,7,29-0,18,50;20.00;48.00
2017,7,29-0,18,57;20.00;48.00
2017,7,29-0,19,4;20.00;48.00
2017,7,29-0,19,10;20.00;48.00
2017,7,29-0,19,17;20.00;48.00
2017,7,29-0,19,24;20.00;48.00
2017,7,29-0,19,31;20.00;48.00
2017,7,29-0,19,38;20.00;48.00
2017,7,29-0,19,45;20.00;48.00
2017,7,29-0,19,52;20.00;48.00
2017,7,29-0,19,58;20.00;48.00
2017,7,29-0,20,5;20.00;48.00
2017,7,29-0,20,12;20.00;48.00
2017,7,29-0,20,19;20.00;48.00
2017,7,29-0,20,26;20.00;48.00
2017,7,29-0,20,33;20.00;48.00
2017,7,29-0,20,40;20.00;48.00
2017,7,29-0,20,47;20.00;48.00
2017,7,29-0,20,53;20.00;48.00
2017,7,29-0,21,0;20.00;48.00
2017,7,29-0,21,7;20.00;48.00
2017,7,29-0,21,14;20.00;48.00
2017,7,29-0,21,21;20.00;48.00
2017,7,29-0,21,28;20.00;48.00
2017,7,29-0,21,35;20.00;48.00
2017,7,29-0,21,41;20.00;48.00
2017,7,29-0,21,48;20.00;48.00
2017,7,29-0,21,55;20.00;48.00
2017,7,29-0,22,2;20.00;48.00
2017,7,29-0,22,9;20.00;48.00
2017,7,29-0,22,16;20.00;48.00
2017,7,29-0,22,23;20.00;48.00
2017,7,29-0,22,29;20.00;48.00
2017,7,29-0,22,36;20.00;48.00
2017,7,29-0,22,43;20.00;48.00
2017,7,29-0,22,50;20.00;48.00
2017,7,29-0,22,57;20.00;48.00
2017,7,29-0,23,4;20.00;48.00
2017,7,29-0,23,11;20.00;48.00
2017,7,29-0,23,17;20.00;48.00
2017,7,29-0,23,24;20.00;48.00
2017,7,29-0,23,31;20.00;48.00
2017,7,29-0,23,38;20.00;48.00
2017,7,29-0,23,45;20.00;48.00
2017,7,29-0,23,52;20.00;48.00
2017,7,29-0,23,59;20.00;48.00
2017,7,29-0,24,5;20.00;48.00
2017,7,29-0,24,12;20.00;48.00
2017,7,29-0,24,19;20.00;48.00
2017,7,29-0,24,26;20.00;48.00
2017,7,29-0,24,33;20.00;48.00
2017,7,29-0,24,40;20.00;48.00
2017,7,29-0,24,47;20.00;48.00
2017,7,29-0,24,53;20.00;48.00
2017,7,29-0,25,0;20.00;48.00
2017,7,29-0,25,7;20.00;48.00
2017,7,29-0,25,14;20.00;48.00
2017,7,29-0,25,21;20.00;48.00
2017,7,29-0,25,28;20.00;48.00
2017,7,29-0,25,35;20.00;48.00
2017,7,29-0,25,41;20.00;48.00
2017,7,29-0,25,48;20.00;48.00
2017,7,29-0,25,55;20.00;48.00
2017,7,29-0,26,2;20.00;48.00
2017,7,29-0,26,9;20.00;48.00
2017,7,29-0,26,16;20.00;48.00
2017,7,29-0,26,23;20.00;48.00
2017,7,29-0,26,29;20.00;48.00
2017,7,29-0,26,36;20.00;48.00
2017,7,29-0,26,43;20.00;48.00
2017,7,29-0,26,50;20.00;48.00
2017,7,29-0,26,57;20.00;48.00
2017,7,29-0,27,4;20.00;48.00
2017,7,29-0,27,11;20.00;48.00
2017,7,29-0,27,18;20.00;48.00
2017,7,29-0,27,24;20.00;48.00
2017,7,29-0,27,31;20.00;48.00
2017,7,29-0,27,38;20.00;48.00
2017,7,29-0,27,45;20.00;48.00
2017,7,29-0,27,52;20.00;48.00
2017,7,29-0,27,59;20.00;48.00
2017,7,29-0,28,6;20.00;48.00
2017,7,29-0,28,12;20.00;48.00
2017,7,29-0,28,19;20.00;48.00
2017,7,29-0,28,26;20.00;48.00
2017,7,29-0,28,33;20.00;48.00
2017,7,29-0,28,40;20.00;48.00
2017,7,29-0,28,47;20.00;48.00
2017,7,29-0,28,54;20.00;48.00
2017,7,29-0,29,0;20.00;48.00
2017,7,29-0,29,7;20.00;48.00
2017,7,29-0,29,14;20.00;48.00
2017,7,29-0,29,21;20.00;48.00
2017,7,29-0,29,28;20.00;48.00
2017,7,29-0,29,35;20.00;48.00
2017,7,29-0,29,42;20.00;48.00
2017,7,29-0,29,48;20.00;48.00
2017,7,29-0,29,55;20.00;48.00
2017,7,29-0,30,2;20.00;48.00
2017,7,29-0,30,9;20.00;48.00
2017,7,29-0,30,16;20.00;48.00
2017,7,29-0,30,23;20.00;48.00
2017,7,29-0,30,30;20.00;48.00
2017,7,29-0,30,36;20.00;48.00
2017,7,29-0,30,43;20.00;48.00
2017,7,29-0,30,50;20.00;48.00
2017,7,29-0,30,57;20.00;48.00
2017,7,29-0,31,4;20.00;48.00
2017,7,29-0,31,11;20.00;48.00
2017,7,29-0,31,18;20.00;48.00
2017,7,29-0,31,25;20.00;48.00
2017,7,29-0,31,31;20.00;48.00
2017,7,29-0,31,38;20.00;48.00
2017,7,29-0,31,45;20.00;48.00
2017,7,29-0,31,52;20.00;48.00
2017,7,29-0,31,59;20.00;48.00
2017,7,29-0,32,6;20.00;48.00
2017,7,29-0,32,13;20.00;48.00
2017,7,29-0,32,19;20.00;48.00
2017,7,29-0,32,26;20.00;48.00
2017,7,29-0,32,33;20.00;48.00
2017,7,29-0,32,40;20.00;48.00
2017,7,29-0,32,47;20.00;48.00
2017,7,29-0,32,54;20.00;48.00
